"BEDEUTUNG","INFINITIV","Präsens","Präteritum","Perfekt","  "
"aclarar","abspülen","spült ab","spülte ab","hat abgespült",""
"atención","achten (auf)","achte","achtete","hat geachtet",""
"sospechar","ahnen","ahnt","ahnte","hat geahnt",""
"ofrecer","anbieten","bietet an","bot an","hat angeboten",""
"cambiar","ändern (sich)","ändert","änderte","hat geändert",""
"empezar","anfangen","fängt an","fing an","hat angefangen",""
"venir","ankommen","kommt an","kam an","ist angekommen",""
"llamar teléfono","anrufen","ruft an","rief an","hat angerufen",""
"tocar","antasten","tastet an","tastete an","hat angetastet",""
"responder","antworten","antwortet","antwortete","hat geantwortet",""
"aplicar","anwenden","wendet an","wandte an","hat angewandt",""
"vestir","anziehen (sich)","zieht an","zog an","hat angezogen",""
"trabajar","arbeiten","arbeitet","arbeitete","hat gearbeitet",""
"molestar","ärgern (sich)","ärgert","ärgerte","hat geärgert",""
"concertar","arrangieren","arrangiert","arrangierte","hat arrangiert",""
"respirar","atmen","atmet","atmete","hat geatmet",""
"limpiar, ordenar","aufräumen","räumt auf","räumte auf","hat aufgeräumt",""
"alterar","aufregen (sich)","regt auf","regte auf","hat aufgeregt",""
"despertar","aufwachen","wacht auf","wachte auf","ist aufgewacht",""
"rellenar","ausfüllen","füllt aus","füllte aus","hat ausgefüllt",""
"gastar, emitir","ausgeben","gibt aus","gab aus","hat ausgegeben",""
"airearse","auslüften","lüftet aus","lüftete aus","hat ausgelüftet",""
"equipar","ausrüsten","rüstet aus","rüstete aus","hat ausgerüstet",""
"parecer","aussehen","sieht aus","sah aus","hat ausgesehen",""
"bajar","aussteigen","steigt aus","stieg aus","ist ausgestiegen",""
"intercambiar","austauschen","tauscht aus","tauschte aus","hat ausgetauscht",""
"hornear","backen","bäckt","buk","hat gebacken",""
"bañar","baden (sich)","badet","badete","hat gebadet",""
"crear manual","basteln","bastelt","bastelte","hat gebastelt",""
"construir","bauen","baut","baute","hat gebaut",""
"darse prisa","beeilen (sich)","beeilt","beeilte","hat beeilt",""
"acabar","beenden","beendet","beendete","hat beendet",""
"mandar","befehlen (dat)","befielht","befahl","hat befohlen",""
"fijar, sujetar","befestigen","befestigt","befestigte","hat befestigt",""
"encontrar, enfrentar","begegnen","begegnet","begegnete","ist begegnet",""
"cometer, perpetrar","begehen","begeht","beging","hat begangen",""
"comenzar","beginnen","beginnt","begann","hat begonnen",""
"acompañar, guiar","begleiten","begleitet","begleitete","hat begleitet",""
"mantener, retener","behalten","bahält","behielt","hat behalten",""
"tratar, manejar","behandeln (sich)","behandelt","behandelte","hat behandelt",""
"morder, picar","beißen","beißt","biss","hat gebissen",""
"recibir, conseguir","bekommen","bekommt","bekam","hat bekommen",""
